Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status
Akshay Karnewar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sumit Kumar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Abid Mushtaq,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Lone Muzaffar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ninad Rathva,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shoun Roger,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Jaideep Bhambhu,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Nandre Burger,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Matt Kelly,30 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
V Koushik,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Akash Madhwal,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Amit Mishra,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Anuj Raj,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Abhijeet Saket,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Rahul Shukla,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Nuwan Thushara,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Mark Adnair,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Hilton Cartwright,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Gareth Delany,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Danushka Gunatilaka,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Anaru Kitchen,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dhananjaya Lakshan,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sisanda Magala,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Andile Phehlukwayo,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Seekkuge Prasanna,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Raymon Reifer,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Amit Ali,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Chaitanya Bishnoi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Mayank Dagar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Migael Pretorius,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shivam Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Pratyush Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sanvir Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dhrushant Soni,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
M Venkatesh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Bandaru Ayyappa,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Gurnoor Singh Brar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Akash Choudhary,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
